OSEBuildingID,BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFABuilding,ENERGYSTARScore,SiteEnergyUse,SteamUse,Electricity,NaturalGas,OtherFuelUse,GHGEmissions,BuildingAge,IsSteamUser,IsElectricityUser,IsNaturalGasUser,IsOtherFuelUser,NumberOfUsedEnergies,MostUsedEnergy,GatheredPrimaryPropertyType,LogSiteEnergyUse,LogGHGEmissions
19501,NonResidential,Small- and Mid-Sized Office,CENTRAL,1910,1.0,3.0,38460.0,69.0,1950713.25,0.0,1464669.0,486044.0,0.0,36.02,106,0.0,1.0,1.0,0.0,2.0,Electricity,Office,14.483706145526318,3.6114583071453517
19520,NonResidential,Worship Facility,NORTHWEST,1922,1.0,2.0,21022.0,54.0,945245.625,0.0,137902.0,807343.0,0.0,43.84,94,0.0,1.0,1.0,0.0,2.0,NaturalGas,Worship Facility,13.759201151262806,3.8031005982039594
19537,SPS-District K-12,K-12 School,SOUTHWEST,1954,1.0,2.0,51489.0,93.0,1984067.625,0.0,750281.0,1233786.0,0.0,70.76,62,0.0,1.0,1.0,0.0,2.0,NaturalGas,Education,14.500660155442471,4.27332721775054
19559,NonResidential,Distribution Center,GREATER DUWAMISH,1967,1.0,1.0,48001.0,49.0,2143650.75,0.0,593580.0,1550071.0,0.0,86.46,49,0.0,1.0,1.0,0.0,2.0,NaturalGas,Distribution Center,14.57802135794233,4.471181545984774
19565,NonResidential,Warehouse,GREATER DUWAMISH,1979,1.0,1.0,26380.0,,509124.0,0.0,508416.0,708.0,0.0,3.58,37,0.0,1.0,1.0,0.0,2.0,Electricity,Warehouse,13.140448844950713,1.5216989981260935
19570,NonResidential,Warehouse,GREATER DUWAMISH,1969,1.0,1.0,37351.0,10.0,2559461.75,0.0,1276462.0,1283000.0,0.0,77.04,47,0.0,1.0,1.0,0.0,2.0,NaturalGas,Warehouse,14.755307931150115,4.357221515754911
19572,NonResidential,Warehouse,GREATER DUWAMISH,1981,1.0,1.0,30375.0,73.0,345866.6875,0.0,345867.0,0.0,0.0,2.41,35,0.0,1.0,0.0,0.0,1.0,Electricity,Warehouse,12.75381157483465,1.2267122912954254
19576,NonResidential,Warehouse,GREATER DUWAMISH,1979,1.0,1.0,30004.0,,369291.5,0.0,369291.0,0.0,0.0,2.57,37,0.0,1.0,0.0,0.0,1.0,Electricity,Warehouse,12.81934429194231,1.2725655957915476
19584,NonResidential,Other,NORTHEAST,1928,1.0,3.0,39971.0,,10960107.0,0.0,3598398.0,7361709.0,0.0,416.07,88,0.0,1.0,1.0,0.0,2.0,NaturalGas,Other,16.20977269345019,6.033254073418364
19596,NonResidential,Worship Facility,BALLARD,1914,1.0,2.0,33589.0,90.0,509836.1875,0.0,111626.0,398210.0,0.0,21.93,102,0.0,1.0,1.0,0.0,2.0,NaturalGas,Worship Facility,13.141846713536431,3.132446096869813
19613,NonResidential,Small- and Mid-Sized Office,BALLARD,1979,1.0,3.0,43500.0,46.0,3220635.25,0.0,3216396.0,4239.0,0.0,22.65,37,0.0,1.0,1.0,0.0,2.0,Electricity,Office,14.985089491169335,3.1633631149379418
